0 c.name;1 c.surname;2 c.ak;3  c.birthdate;4 p.name;5 p.surname;6 p.ak;7 p.email;8 p.phone;9 p.address;10 a.surname;11 a.name;12 a.ak;13 a.phone;14 a.email;15 a.address
Rusnis;Riekašius;51601150093;2016-01-15;Vidymantas;Riekašius;38601150093;user1@user.lt;+37060000001;"Ilgiausia g. 1, Vilnius";Riekašė;Adolaida;49104120001;862000001;parent1@parent.lt;"Ilgiausia g. 1, Vilnius"
Girmintas;Vėlius;51601150016;2016-01-15;Gytautas;Vėlius;38601150016;user2@user.lt;+37060000002;"Ilgiausia g. 2, Vilnius";Vėlė;Juvencija;49104120002;862000002;parent2@parent.lt;"Ilgiausia g. 2, Vilnius"
Gitavtas;Subelis;51601150060;2016-01-15;Pilėnas;Subelis;38601150060;user3@user.lt;+37060000003;"Ilgiausia g. 3, Vilnius";Subelė;Sanga;49104120003;862000003;parent3@parent.lt;"Ilgiausia g. 3, Vilnius"
Kornelis;Žaudzevičius;51601150038;2016-01-15;Vaigydas;Žaudzevičius;38601150038;user4@user.lt;+37060000004;"Ilgiausia g. 4, Vilnius";Žaudzevičė;Gracija;49104120004;862000004;parent4@parent.lt;"Ilgiausia g. 4, Vilnius"
Gaivis;Jakubielskas;51601150049;2016-01-15;Milgedas;Jakubielskas;38601150049;user5@user.lt;+37060000005;"Ilgiausia g. 5, Vilnius";Jakubielskė;Laimantė;49104120005;862000005;parent5@parent.lt;"Ilgiausia g. 5, Vilnius"
Patrik;Būtvilas;51601150005;2016-01-15;Ignnatijus;Būtvilas;38601150005;user6@user.lt;+37060000006;"Ilgiausia g. 6, Vilnius";Būtvilė;Penelopė;49104120006;862000006;parent6@parent.lt;"Ilgiausia g. 6, Vilnius"
Polius;Vaišnoris;51601150053;2016-01-15;Lengvinas;Vaišnoris;38601150053;user7@user.lt;+37060000007;"Ilgiausia g. 7, Vilnius";Vaišnorė;Eolelija;49104120007;862000007;parent7@parent.lt;"Ilgiausia g. 7, Vilnius"
Jorigis;Bloškys;51601150027;2016-01-15;Getautas;Bloškys;38601150027;user8@user.lt;+37060000008;"Ilgiausia g. 8, Vilnius";Blokšė;Deivydė;49104120008;862000008;parent8@parent.lt;"Ilgiausia g. 8, Vilnius"
Elbertas;Daukantis;51601150071;2016-01-15;Voldis;Daukantis;38601150071;user9@user.lt;+37060000009;"Ilgiausia g. 9, Vilnius";Daukantė;Genija;49104120009;862000009;parent9@parent.lt;"Ilgiausia g. 9, Vilnius"
Adolaida;Žitinskytė;61602150113;2016-02-15;Varonika;Žitinskytė;49402150113;user10@user.lt;+37060000010;"Ilgiausia g. 10, Vilnius";Žitinskas;Petras;38903150010;862000010;parent10@parent.lt;"Ilgiausia g. 10, Vilnius"
Juvencija;Gazevičytė;61602150120;2016-02-15;Balanda;Gazevičytė;49402150120;user11@user.lt;+37060000011;"Ilgiausia g. 11, Vilnius";Gazevičius;Mantvilas;38903150011;862000011;parent11@parent.lt;"Ilgiausia g. 11, Vilnius"
Sanga;Gecaitė;61602150131;2016-02-15;Zigfrida;Gecaitė;49402150131;user12@user.lt;+37060000012;"Ilgiausia g. 12, Vilnius";Gecaitis;Naras;38903150012;862000012;parent12@parent.lt;"Ilgiausia g. 12, Vilnius"
Gracija;Kmiliauskaitė;61602150109;2016-02-15;Dija;Kmiliauskaitė;49402150109;user13@user.lt;+37060000013;"Ilgiausia g. 13, Vilnius";Kmiliauskas;Alvis;38903150013;862000013;parent13@parent.lt;"Ilgiausia g. 13, Vilnius"
Laimantė;Paraknavičytė;61602150175;2016-02-15;Vince;Paraknavičytė;49402150175;user14@user.lt;+37060000014;"Ilgiausia g. 14, Vilnius";Paraknavičius;Alginas;38903150014;862000014;parent14@parent.lt;"Ilgiausia g. 14, Vilnius"
Penelopė;Norvilovytė;61602150186;2016-02-15;Jautrė;Norvilovytė;49402150186;user15@user.lt;+37060000015;"Ilgiausia g. 15, Vilnius";Norvilovas;Vaidrimas;38903150015;862000015;parent15@parent.lt;"Ilgiausia g. 15, Vilnius"
Eolelija;Kratavičaitė;61602150153;2016-02-15;Terėsė;Kratavičaitė;49402150153;user16@user.lt;+37060000016;"Ilgiausia g. 16, Vilnius";Kratavičius;Gaudvydas;38903150016;862000016;parent16@parent.lt;"Ilgiausia g. 16, Vilnius"
Deivydė;Čiegiūtė;61602150142;2016-02-15;Jurgita;Čiegiūtė;49402150142;user17@user.lt;+37060000017;"Ilgiausia g. 17, Vilnius";Čiegius;Joviltas;38903150017;862000017;parent17@parent.lt;"Ilgiausia g. 17, Vilnius"
Genija;Pipeniūtė;61602150164;2016-02-15;Gertruda;Pipeniūtė;49402150164;user18@user.lt;+37060000018;"Ilgiausia g. 18, Vilnius";Pipenius;Ildefons;38903150018;862000018;parent18@parent.lt;"Ilgiausia g. 18, Vilnius"
Adelia;Aniukevičiūtė;61602150197;2016-02-15;Arvina;Aniukevičiūtė;49402150197;user19@user.lt;+37060000019;"Ilgiausia g. 19, Vilnius";Aniukevičius;Jotvis;38903150019;862000019;parent19@parent.lt;"Ilgiausia g. 19, Vilnius"
Mantvilas;Damaševičius;51603150255;2016-03-15;Rimantis;Damaševičius;38603150255;user20@user.lt;+37060000020;"Ilgiausia g. 20, Vilnius";Damaševičė;Ona;49104120020;862000020;parent20@parent.lt;"Ilgiausia g. 20, Vilnius"
Naras;Jarošius;51603150233;2016-03-15;Galius;Jarošius;38603150233;user21@user.lt;+37060000021;"Ilgiausia g. 21, Vilnius";Jarošė;Celestė;49104120021;862000021;parent21@parent.lt;"Ilgiausia g. 21, Vilnius"
Alvis;Pernovas;51603150222;2016-03-15;Arymantas;Pernovas;38603150222;user22@user.lt;+37060000022;"Ilgiausia g. 22, Vilnius";Pernova;Vylma;49104120022;862000022;parent22@parent.lt;"Ilgiausia g. 22, Vilnius"
Alginas;Ardauskas;51603150200;2016-03-15;Kantvilas;Ardauskas;38603150200;user23@user.lt;+37060000023;"Ilgiausia g. 23, Vilnius";Ardauskė;Armilė;49104120023;862000023;parent23@parent.lt;"Ilgiausia g. 23, Vilnius"
Vaidrimas;Diedonis;51603150299;2016-03-15;Vinantas;Diedonis;38603150299;user24@user.lt;+37060000024;"Ilgiausia g. 24, Vilnius";Diedonė;Irtė;49104120024;862000024;parent24@parent.lt;"Ilgiausia g. 24, Vilnius"
Gaudvydas;Sieliava;51603150277;2016-03-15;Platonas;Sieliava;38603150277;user25@user.lt;+37060000025;"Ilgiausia g. 25, Vilnius";Sieliava;Ilitija;49104120025;862000025;parent25@parent.lt;"Ilgiausia g. 25, Vilnius"
Joviltas;Polinauskas;51603150288;2016-03-15;Kipras;Polinauskas;38603150288;user26@user.lt;+37060000026;"Ilgiausia g. 26, Vilnius";Polinauskė;Stefanija;49104120026;862000026;parent26@parent.lt;"Ilgiausia g. 26, Vilnius"
Ildefons;Bruneikis;51603150266;2016-03-15;Marcelius;Bruneikis;38603150266;user27@user.lt;+37060000027;"Ilgiausia g. 27, Vilnius";Bruneikė;Chonija;49104120027;862000027;parent27@parent.lt;"Ilgiausia g. 27, Vilnius"
