0 c.name;1 surname;2 c.ak;3 c.birthdate;4 p.name;5 p.surname;6 p.ak;7 p.email;8 p.phone;9 k.name;10 k.code;11 k.phone;12 k.email;13 k.account;14 k.address;15 p.address;16 k.bankName;17 k.bankCode
Rusnis;Riekašius;51601150093;2016-01-15;Vidymantas;Riekašius;38601150093;user1@user.lt;+37060000001;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 1, Vilnius";Pinigų Pieninė;PNGPNN66
Girmintas;Vėlius;51601150016;2016-01-15;Gytautas;Vėlius;38601150016;user2@user.lt;+37060000002;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 2, Vilnius";Pinigų Pieninė;PNGPNN66
Gitavtas;Subelis;51601150060;2016-01-15;Pilėnas;Subelis;38601150060;user3@user.lt;+37060000003;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 3, Vilnius";Pinigų Pieninė;PNGPNN66
Kornelis;Žaudzevičius;51601150038;2016-01-15;Vaigydas;Žaudzevičius;38601150038;user4@user.lt;+37060000004;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 4, Vilnius";Pinigų Pieninė;PNGPNN66
Gaivis;Jakubielskas;51601150049;2016-01-15;Milgedas;Jakubielskas;38601150049;user5@user.lt;+37060000005;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 5, Vilnius";Pinigų Pieninė;PNGPNN66
Patrik;Būtvilas;51601150005;2016-01-15;Ignnatijus;Būtvilas;38601150005;user6@user.lt;+37060000006;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 6, Vilnius";Pinigų Pieninė;PNGPNN66
Polius;Vaišnoris;51601150053;2016-01-15;Lengvinas;Vaišnoris;38601150053;user7@user.lt;+37060000007;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 7, Vilnius";Pinigų Pieninė;PNGPNN66
Jorigis;Bloškys;51601150027;2016-01-15;Getautas;Bloškys;38601150027;user8@user.lt;+37060000008;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 8, Vilnius";Pinigų Pieninė;PNGPNN66
Elbertas;Daukantis;51601150071;2016-01-15;Voldis;Daukantis;38601150071;user9@user.lt;+37060000009;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 9, Vilnius";Pinigų Pieninė;PNGPNN66
Adolaida;Žitinskytė;61602150113;2016-02-15;Varonika;Žitinskytė;49402150113;user10@user.lt;+37060000010;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 10, Vilnius";Pinigų Pieninė;PNGPNN66
