0 p.name;1 surname;2 p.ak;3 p.address;4 p.phone;5 p.email;6 c.name
Vidymantas;Riekašius;38601150093;"Ilgiausia g. 1, Vilnius";+37060000001;user1@user.lt;Rusnis
Gytautas;Vėlius;38601150016;"Ilgiausia g. 2, Vilnius";+37060000002;user2@user.lt;Girmintas
Pilėnas;Subelis;38601150060;"Ilgiausia g. 3, Vilnius";+37060000003;user3@user.lt;Gitavtas
Vaigydas;Žaudzevičius;38601150038;"Ilgiausia g. 4, Vilnius";+37060000004;user4@user.lt;Kornelis
Milgedas;Jakubielskas;38601150049;"Ilgiausia g. 5, Vilnius";+37060000005;user5@user.lt;Gaivis
Ignnatijus;Būtvilas;38601150005;"Ilgiausia g. 6, Vilnius";+37060000006;user6@user.lt;Patrik
Lengvinas;Vaišnoris;38601150053;"Ilgiausia g. 7, Vilnius";+37060000007;user7@user.lt;Polius
Getautas;Bloškys;38601150027;"Ilgiausia g. 8, Vilnius";+37060000008;user8@user.lt;Jorigis
Voldis;Daukantis;38601150071;"Ilgiausia g. 9, Vilnius";+37060000009;user9@user.lt;Elbertas
Varonika;Žitinskytė;49402150113;"Ilgiausia g. 10, Vilnius";+37060000010;user10@user.lt;Adolaida
Balanda;Gazevičytė;49402150120;"Ilgiausia g. 11, Vilnius";+37060000011;user11@user.lt;Juvencija
Zigfrida;Gecaitė;49402150131;"Ilgiausia g. 12, Vilnius";+37060000012;user12@user.lt;Sanga
Dija;Kmiliauskaitė;49402150109;"Ilgiausia g. 13, Vilnius";+37060000013;user13@user.lt;Gracija
Vince;Paraknavičytė;49402150175;"Ilgiausia g. 14, Vilnius";+37060000014;user14@user.lt;Laimantė
Jautrė;Norvilovytė;49402150186;"Ilgiausia g. 15, Vilnius";+37060000015;user15@user.lt;Penelopė
Terėsė;Kratavičaitė;49402150153;"Ilgiausia g. 16, Vilnius";+37060000016;user16@user.lt;Eolelija
Jurgita;Čiegiūtė;49402150142;"Ilgiausia g. 17, Vilnius";+37060000017;user17@user.lt;Deivydė
Gertruda;Pipeniūtė;49402150164;"Ilgiausia g. 18, Vilnius";+37060000018;user18@user.lt;Genija
Arvina;Aniukevičiūtė;49402150197;"Ilgiausia g. 19, Vilnius";+37060000019;user19@user.lt;Adelia
Rimantis;Damaševičius;38603150255;"Ilgiausia g. 20, Vilnius";+37060000020;user20@user.lt;Mantvilas
Galius;Jarošius;38603150233;"Ilgiausia g. 21, Vilnius";+37060000021;user21@user.lt;Naras
Arymantas;Pernovas;38603150222;"Ilgiausia g. 22, Vilnius";+37060000022;user22@user.lt;Alvis
